A*,Flood Fill,Rotation Aware(0.5),Rotation Aware(1),UF SPS,MHIP,PSO,DFS
138.3824,138.3824,138.721,139.5196,140.8448,140.4194,139.3824,705.3698
70.9504,71.0884,61.759,60.6559,60.3147,60.3851,72.0153,392.7758
197.65735204136715,197.8162307510227,194.33779290035127,194.38244302563356,194.75080740557195,195.21537938081323,199.0645546658148,1015.0134528651095
